defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,month,week,day_of_week
1,15,structural,06-06-2024,Component,Minor,Visual Inspection,245.47,6,23,Thursday
2,6,functional,26-04-2024,Component,Minor,Visual Inspection,26.87,4,17,Friday
3,84,structural,15-02-2024,Internal,Minor,Automated Testing,835.81,2,7,Thursday
4,10,functional,28-03-2024,Internal,Critical,Automated Testing,444.47,3,13,Thursday
5,14,cosmetic,26-04-2024,Component,Minor,Manual Testing,823.64,4,17,Friday
6,17,functional,11-05-2024,Internal,Moderate,Visual Inspection,788.11,5,19,Saturday
7,85,cosmetic,23-05-2024,Internal,Critical,Manual Testing,33.68,5,21,Thursday
8,90,structural,15-01-2024,Internal,Moderate,Manual Testing,65.56,1,3,Monday
9,30,structural,26-01-2024,Component,Critical,Manual Testing,848.61,1,4,Friday
10,20,structural,05-06-2024,Component,Critical,Visual Inspection,478.48,6,23,Wednesday
11,45,structural,28-04-2024,Surface,Moderate,Automated Testing,217.96,4,17,Sunday
12,86,structural,25-02-2024,Component,Minor,Manual Testing,485.02,2,8,Sunday
13,87,cosmetic,20-06-2024,Component,Minor,Visual Inspection,714.63,6,25,Thursday
14,72,cosmetic,08-05-2024,Surface,Critical,Manual Testing,603.94,5,19,Wednesday
15,74,cosmetic,03-05-2024,Component,Critical,Manual Testing,189.55,5,18,Friday
16,10,functional,20-01-2024,Component,Minor,Automated Testing,458.79,1,3,Saturday
17,53,structural,14-05-2024,Internal,Minor,Visual Inspection,509.35,5,20,Tuesday
18,63,cosmetic,21-05-2024,Component,Critical,Visual Inspection,538.99,5,21,Tuesday
19,28,functional,15-02-2024,Internal,Critical,Manual Testing,34.93,2,7,Thursday
20,81,structural,25-05-2024,Internal,Moderate,Manual Testing,557.11,5,21,Saturday
21,67,functional,03-05-2024,Surface,Minor,Visual Inspection,831.43,5,18,Friday
22,6,structural,06-03-2024,Surface,Minor,Visual Inspection,504.9,3,10,Wednesday
23,33,structural,06-05-2024,Surface,Moderate,Automated Testing,349.23,5,19,Monday
24,15,structural,23-02-2024,Component,Critical,Visual Inspection,560.39,2,8,Friday
25,13,cosmetic,19-02-2024,Surface,Moderate,Manual Testing,629.71,2,8,Monday
26,39,structural,15-06-2024,Component,Moderate,Visual Inspection,975.44,6,24,Saturday
27,60,cosmetic,08-05-2024,Component,Moderate,Manual Testing,737.54,5,19,Wednesday
28,42,structural,02-01-2024,Component,Critical,Manual Testing,592.87,1,1,Tuesday
29,3,structural,13-01-2024,Component,Moderate,Automated Testing,99.82,1,2,Saturday
30,17,functional,22-01-2024,Surface,Critical,Visual Inspection,106.34,1,4,Monday
